date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:06:33	39276/39276	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2012:07:04%20GMT	https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html?_ga=2.252161161.1420195024.1622798173-1503908104.1622798172	C:/Users/ABUDHABI/Downloads/ecommerce/demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index8f26.html	(from )
13:06:34	1002/1002	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2012:07:06%20GMT	https://demo.w3layouts.com/robots.txt		(from )
13:06:35	178152/178152	---M-Z	200	added ('OK')	text/css	etag:%221558943530%22	https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/css/bootstrap.css	C:/Users/ABUDHABI/Downloads/ecommerce/demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/css/bootstrap.css	(from https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html?_ga=2.252161161.1420195024.1622798173-1503908104.1622798172)
13:06:36	32143/32143	---M-Z	200	added ('OK')	text/css	etag:%221558943530%22	https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/css/style.css	C:/Users/ABUDHABI/Downloads/ecommerce/demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/css/style.css	(from https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html?_ga=2.252161161.1420195024.1622798173-1503908104.1622798172)
13:06:37	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221558943530%22	https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/css/font-awesome.min.css	C:/Users/ABUDHABI/Downloads/ecommerce/demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/css/font-awesome.min.css	(from https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html?_ga=2.252161161.1420195024.1622798173-1503908104.1622798172)
13:06:37	61886/61886	---MCZ	200	added ('OK')	application/javascript	etag:W/%22eafb4e5a3afd66f67e613a41ad3440bc%22	http://m.servedby-buysellads.com/monetization.js	C:/Users/ABUDHABI/Downloads/ecommerce/m.servedby-buysellads.com/monetization.js	(from https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html?_ga=2.252161161.1420195024.1622798173-1503908104.1622798172)
13:06:38	24793/24793	---M-Z	200	added ('OK')	application/javascript	etag:%221570541238%22	https://demo.w3layouts.com/js/autotrack.js	C:/Users/ABUDHABI/Downloads/ecommerce/demo.w3layouts.com/js/autotrack.js	(from https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html?_ga=2.252161161.1420195024.1622798173-1503908104.1622798172)
13:06:38	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221611161698%22	https://demo.w3layouts.com/assests/css/font-awesome.min.css	C:/Users/ABUDHABI/Downloads/ecommerce/demo.w3layouts.com/assests/css/font-awesome.min.css	(from https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html?_ga=2.252161161.1420195024.1622798173-1503908104.1622798172)
13:06:39	39276/39276	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2012:07:10%20GMT	https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html	C:/Users/ABUDHABI/Downloads/ecommerce/demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html	(from https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html?_ga=2.252161161.1420195024.1622798173-1503908104.1622798172)
13:06:39	17825/17825	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2012:07:10%20GMT	https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/login.html	C:/Users/ABUDHABI/Downloads/ecommerce/demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/login.html	(from https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html?_ga=2.252161161.1420195024.1622798173-1503908104.1622798172)
